yearID,teamID,League,Wins,Losses,WinPct,AvgSalary_Mil
2008,MIL,NL,90,72,0.5555555820465088,80.937499
2013,SFN,NL,76,86,0.4691357910633087,140.180334
2013,SEA,AL,71,91,0.4382716119289398,74.005043
2011,SDN,NL,71,91,0.4382716119289398,45.86914
2010,CLE,AL,69,93,0.42592594027519226,61.203966
2006,WAS,NL,71,91,0.4382716119289398,63.143
2012,MIL,NL,83,79,0.5123456716537476,97.653944
2014,TBA,AL,77,85,0.4753086566925049,72.6891
2005,BOS,AL,95,67,0.5864197611808777,123.505125
2009,LAN,NL,95,67,0.5864197611808777,100.414592
2010,DET,AL,81,81,0.5,122.864928
2007,WAS,NL,73,89,0.4506172835826874,36.9475
2005,TBA,AL,67,95,0.4135802388191223,29.679067
2011,PHI,NL,102,60,0.6296296119689941,172.976379
2010,WAS,NL,69,93,0.42592594027519226,61.4
2012,CHA,AL,85,77,0.5246913433074951,96.9195
2012,COL,NL,64,98,0.395061731338501,78.069571
2012,LAN,NL,86,76,0.5308641791343689,95.143575
2007,SLN,NL,78,84,0.48148149251937866,90.286823
2008,CLE,AL,81,81,0.5,78.970066
2010,SEA,AL,61,101,0.37654322385787964,86.51
2006,FLO,NL,78,84,0.48148149251937866,14.6715
2008,NYA,AL,89,73,0.5493826866149902,207.896789
2010,TOR,AL,85,77,0.5246913433074951,62.234
2012,SEA,AL,75,87,0.46296295523643494,81.9781
2015,SEA,AL,76,86,0.4691357910633087,122.2087
2010,SDN,NL,90,72,0.5555555820465088,37.7993
2012,OAK,AL,94,68,0.5802469253540039,55.3725
2016,OAK,AL,69,93,0.42592594027519226,86.806234
2016,HOU,AL,84,78,0.5185185074806213,94.8937
2013,MIA,NL,62,100,0.3827160596847534,33.6019
2012,BAL,AL,93,69,0.5740740895271301,77.353999
2010,KCA,AL,67,95,0.4135802388191223,71.40521
2007,CIN,NL,72,90,0.4444444477558136,68.52498
2015,PHI,NL,63,99,0.3888888955116272,111.693
2013,LAA,AL,78,84,0.48148149251937866,124.17475
2007,BAL,AL,69,93,0.42592594027519226,93.174808
2008,OAK,AL,75,86,0.4658385217189789,47.967126
2009,PIT,NL,62,99,0.38509318232536316,48.693
2016,MIN,AL,59,103,0.3641975224018097,102.5832
2005,PHI,NL,88,74,0.5432098507881165,95.522
2015,CHA,AL,76,86,0.4691357910633087,112.3737
2012,NYN,NL,74,88,0.45679011940956116,93.353983
2016,COL,NL,75,87,0.46296295523643494,112.645071
2006,TOR,AL,87,75,0.5370370149612427,71.365
2014,TEX,AL,67,95,0.4135802388191223,112.255059
2007,COL,NL,90,73,0.5521472096443176,54.041
2012,SFN,NL,94,68,0.5802469253540039,117.620683
2013,CLE,AL,92,70,0.5679012537002563,75.7718
2014,HOU,AL,70,92,0.43209877610206604,35.1163
2005,COL,NL,67,95,0.4135802388191223,47.839
2007,FLO,NL,71,91,0.4382716119289398,30.507
2011,OAK,AL,74,88,0.45679011940956116,66.5365
2007,LAN,NL,82,80,0.5061728358268738,108.454524
2009,NYN,NL,70,92,0.43209877610206604,149.373987
2010,TEX,AL,90,72,0.5555555820465088,55.250544
2011,WAS,NL,80,81,0.4968944191932678,63.856928
2007,TEX,AL,75,87,0.46296295523643494,68.318675
2005,WAS,NL,81,81,0.5,48.5815
2009,CIN,NL,78,84,0.48148149251937866,73.5585
2014,ARI,NL,64,98,0.395061731338501,97.8615
2005,CIN,NL,73,90,0.44785276055336,61.892583
2007,HOU,NL,73,89,0.4506172835826874,87.759
2013,ATL,NL,96,66,0.5925925970077515,87.871525
2011,CHN,NL,71,91,0.4382716119289398,125.047329
2009,WAS,NL,59,103,0.3641975224018097,59.928
2013,LAN,NL,92,70,0.5679012537002563,223.362196
2007,OAK,AL,76,86,0.4691357910633087,79.36694
2011,TBA,AL,91,71,0.5617284178733826,41.053571
2005,NYA,AL,95,67,0.5864197611808777,208.306817
2008,ARI,NL,82,80,0.5061728358268738,66.202712
2016,CHA,AL,78,84,0.48148149251937866,112.998667
2011,BAL,AL,69,93,0.42592594027519226,85.304038
2016,NYA,AL,84,78,0.5185185074806213,222.997792
2016,SLN,NL,86,76,0.5308641791343689,143.0535
2014,DET,AL,90,72,0.5555555820465088,152.8555
2007,PIT,NL,68,94,0.4197530746459961,38.537833
2014,CHN,NL,73,89,0.4506172835826874,65.5225
2014,LAN,NL,94,68,0.5802469253540039,217.0146
2009,BOS,AL,95,67,0.5864197611808777,121.345999
2008,KCA,AL,75,87,0.46296295523643494,58.2455
2006,NYN,NL,97,65,0.5987654328346252,101.084963
2015,WAS,NL,83,79,0.5123456716537476,155.587472
2007,CHN,NL,85,77,0.5246913433074951,99.670332
2008,DET,AL,74,88,0.45679011940956116,137.685196
2006,CLE,AL,78,84,0.48148149251937866,56.0315
2015,BAL,AL,81,81,0.5,115.044833
